0-7-37-8-21-10-11-14-39-30-43-17-6-29-36-26-16-42-18-5-27-35-45-32-19-46-12-20-91-31-105-38-24-57-13-53-22-98-132-1-56-33-84-112-68-66-122-140-128-142-116-126-114-125-141-73-130-99-61-102-124-70-77-83-64-52-111-4-71-133-80-115-48-123-96-55-97-78-103-120-118-107-108-79-86-76-58-54-89-65-49-100-59-101-104-109-82-134-135-85-81-110-69-113-47-90-60-88-95-62-51-136-41-67-127-121-139-63-75-138-119-106-94-87-143-74-137-50-72-117-92-93-131-129-23-9-44-34-25-3-2-28-40-15-,18290.32713972056,44,99
33.209438,-87.541493
29.632880000000004,-82.34901
33.99288,-81.02675
33.94043,-83.37305
34.36461,-89.53963
40.09912,-88.23852
39.18024,-86.50935
38.02704,-84.50484
35.95164,-83.93088
35.90504,-79.04775
38.04106,-78.5055
38.99041,-76.94386
39.68103,-75.75402
40.90988,-73.12155
41.4873,-71.53446
43.13827,-70.93238
44.89914,-68.66637
44.47374,-73.19415
42.38694,-72.52991
41.82176,-72.24278
40.74213,-74.17903
39.94934,-75.18964
39.65369,-79.95745
39.323,-82.10268
42.29421,-83.71004
43.08027,-89.43096
41.66831,-91.57953
44.97101,-93.23144
47.92654,-97.07212
42.79137,-96.92542
40.82068,-96.70048
38.95349,-95.26309
38.93641,-92.3297
36.068681,-94.176012
35.19599,-97.44571
40.00694,-105.26639
41.31423,-105.56432
40.76281,-111.83687
46.85461,-113.96552000000001
46.7238,-117.02044000000001
47.65435,-122.30805999999998
44.04455,-123.07174000000002
39.54427,-119.81630999999999
34.07088,-118.44685
32.23564,-110.95174
35.08663,-106.62021
30.28522,-97.73389
30.21929,-92.04138000000002
